"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Sweden;Halland;Fyllinge;;E12.92;N56.65;10;
2;Sweden;Dalarna;Gagnef;;E15.07;N60.58;10;
2;Sweden;Norrbotten;Gällivare;;E20.70;N67.13;10;
2;Sweden;Jämtland;Gällö;;E15.23;N62.92;10;
2;Sweden;Kalmar;Gamleby;;E;N;10;
2;Sweden;Norrbotten;Gammelstaden;;E22.02;N65.63;10;
2;Sweden;Västra Götaland;Gånghester;;E13.02;N57.70;10;
2;Sweden;Skåne;Gantofta;;E12.80;N55.98;10;
2;Sweden;Skåne;Gärds Köpinge;;E14.15;N55.93;10;
2;Sweden;Örebro;Garphyttan;;E;N;10;
2;Sweden;Skåne;Gärsnäs;;E14.18;N55.55;10;
2;Sweden;Gävleborg;Gävle;;E17.13;N60.69;10;
2;Sweden;Kronoberg;Gemla;;E14.63;N56.87;10;
2;Sweden;Skåne;Genarp;;E13.38;N55.60;10;
2;Sweden;Halland;Getinge;;E12.73;N56.82;10;
2;Sweden;Västernorrland;Gimåt;;E18.72;N63.32;10;
2;Sweden;Uppsala;Gimo;;E;N;10;
2;Sweden;Jönköping;Gislaved;;E13.53;N57.30;10;
2;Sweden;Skåne;Gislövs läge och Simremarken;;E13.25;N55.38;10;
2;Sweden;Örebro;Glanshammar;;E15.40;N59.32;10;
2;Sweden;Skåne;Glimåkra;;E14.13;N56.30;10;
2;Sweden;Halland;Glommen;;E;N;10;
2;Sweden;Skåne;Glumslöv;;E12.82;N55.95;10;
2;Sweden;Gävleborg;Gnarp;;E17.28;N62.07;10;
2;Sweden;Södermanland;Gnesta;;E17.30;N59.05;10;
2;Sweden;Jönköping;Gnosjö;;E13.73;N57.37;10;
2;Sweden;Västra Götaland;Göta;;E12.15;N58.12;10;
2;Sweden;Västra Götaland;Göteborg;;E12.01;N57.72;10;
2;Sweden;Västra Götaland;Götene;;E13.48;N58.53;10;
2;Sweden;Västra Götaland;Gråbo;;E;N;10;
2;Sweden;Dalarna;Grängesberg;;E14.98;N60.08;10;
2;Sweden;Jönköping;Gränna;;E14.47;N58.02;10;
2;Sweden;Västra Götaland;Grästorp;;E12.68;N58.33;10;
2;Sweden;Västra Götaland;Grebbestad;;E11.25;N58.70;10;
2;Sweden;Östergötland;Grebo;;E15.85;N58.30;10;
2;Sweden;Skåne;Grevie;;E12.80;N56.37;10;
2;Sweden;Uppsala;Grillby;;E17.25;N59.62;10;
2;Sweden;Västra Götaland;Grimsås;;E13.53;N57.48;10;
2;Sweden;Kronoberg;Grimslöv;;E14.53;N56.73;10;
2;Sweden;Värmland;Grums;;E13.10;N59.32;10;
2;Sweden;Dalarna;Grycksbo;;E15.47;N60.68;10;
2;Sweden;Örebro;Grythyttan;;E14.53;N59.70;10;
2;Sweden;Halland;Gullbrandstorp;;E12.73;N56.70;10;
2;Sweden;Halland;Gullbranna;;E12.95;N56.59;10;
2;Sweden;Västra Götaland;Gullspång;;E14.10;N58.98;10;
2;Sweden;Kalmar;Gunnebo;;E16.53;N57.72;10;
2;Sweden;Stockholm;Gustavsberg;;E18.38;N59.32;10;
2;Sweden;Östergötland;Gusum;;E16.48;N58.27;10;
2;Sweden;Jönköping;Habo;;E14.00;N58.93;10;
2;Sweden;Kalmar;Hagby;;E16.17;N56.55;10;
2;Sweden;Värmland;Hagfors;;E13.65;N60.03;10;
2;Sweden;Skåne;Häljarp;;E12.92;N55.85;10;
2;Sweden;Örebro;Hällabrottet;;E15.20;N59.12;10;
2;Sweden;Södermanland;Hällbybrunn;;E16.43;N59.38;10;
2;Sweden;Örebro;Hällefors;;E14.50;N59.78;10;
2;Sweden;Södermanland;Hälleforsnäs;;E16.50;N59.17;10;
2;Sweden;Västra Götaland;Hällekis;;E13.43;N58.62;10;
2;Sweden;Västra Götaland;Hallerna;;E;N;10;
2;Sweden;Västra Götaland;Hällevadsholm;;E11.53;N58.58;10;
2;Sweden;Blekinge;Hällevik;;E14.70;N56.02;10;
2;Sweden;Örebro;Hallsberg;;E;N;10;
2;Sweden;Södermanland;Hållsta;;E16.45;N59.30;10;
2;Sweden;Västmanland;Hallstahammar;;E16.22;N59.62;10;
2;Sweden;Stockholm;Hallstavik;;E18.60;N60.05;10;
2;Sweden;Halland;Halmstad;;E12.86;N56.67;10;
2;Sweden;Västra Götaland;Hamburgsund;;E11.27;N58.55;10;
2;Sweden;Skåne;Hammar;;E;N;10;
2;Sweden;Jämtland;Hammarstrand;;E16.35;N63.10;10;
2;Sweden;Skåne;Hammenhög;;E14.15;N55.50;10;
2;Sweden;Jämtland;Hammerdal;;E15.35;N63.60;10;
2;Sweden;Skåne;Hanaskog;;E14.12;N56.15;10;
2;Sweden;Norrbotten;Haparanda;;E24.13;N65.83;10;
2;Sweden;Dalarna;Häradsbygden;;E15.03;N60.70;10;
2;Sweden;Västmanland;Harbo;;E17.20;N60.10;10;
2;Sweden;Skåne;Harlösa;;E13.53;N55.72;10;
2;Sweden;Västernorrland;Härnösand;;E17.93;N62.64;10;
2;Sweden;Halland;Harplinge;;E12.72;N56.75;10;
2;Sweden;Skåne;Hässleholm;;E13.76;N56.16;10;
2;Sweden;Blekinge;Hasslö;;E15.48;N56.12;10;
2;Sweden;Skåne;Hästveda;;E13.93;N56.27;10;
2;Sweden;Halland;Haverdal;;E12.67;N56.72;10;
2;Sweden;Västmanland;Heby;;E16.88;N59.93;10;
2;Sweden;Jämtland;Hede;;E13.50;N62.42;10;
2;Sweden;Dalarna;Hedemora;;E15.98;N60.28;10;
2;Sweden;Gävleborg;Hedesunda;;E17.00;N60.40;10;
2;Sweden;Skåne;Helsingborg;;E12.70;N56.05;10;
2;Sweden;Stockholm;Hemmesta;;E18.50;N59.32;10;
2;Sweden;Gotland;Hemse;;E18.37;N57.23;10;
2;Sweden;Västra Götaland;Henån;;E11.68;N58.23;10;
2;Sweden;Västra Götaland;Herrestad;;E11.85;N58.35;10;
2;Sweden;Västra Götaland;Herrljunga;;E13.03;N58.08;10;
2;Sweden;Jönköping;Hestra;;E;N;10;
2;Sweden;Jönköping;Hillerstorp;;E13.87;N57.32;10;
2;Sweden;Västra Götaland;Hindås;;E12.45;N57.70;10;
2;Sweden;Skåne;Hittarp;;E;N;10;
2;Sweden;Skåne;Hjärnarp;;E12.92;N56.32;10;
2;Sweden;Skåne;Hjärup;;E13.17;N55.67;10;
2;Sweden;Västra Götaland;Hjo;;E14.28;N58.30;10;
2;Sweden;Västra Götaland;Hjuvik;;E11.72;N57.70;10;
2;Sweden;Gävleborg;Hofors;;E16.28;N60.55;10;
2;Sweden;Skåne;Hofterup;;E12.97;N55.78;10;
2;Sweden;Skåne;Höganäs;;E12.55;N56.20;10;
2;Sweden;Västra Götaland;Högsäter;;E12.05;N58.65;10;
2;Sweden;Kalmar;Högsby;;E16.03;N57.17;10;
2;Sweden;Södermanland;Högsjö;;E15.68;N59.03;10;
2;Sweden;Västmanland;Hökåsen;;E16.58;N59.67;10;
2;Sweden;Västra Götaland;Hökerum;;E13.28;N57.85;10;
2;Sweden;Skåne;Hököpinge;;E13.02;N55.48;10;
2;Sweden;Skåne;Höllviken;;E12.95;N55.42;10;
2;Sweden;Västerbotten;Holmsund;;E20.35;N63.70;10;
2;Sweden;Stockholm;Hölö;;E18.67;N59.28;10;
2;Sweden;Jönköping;Holsbybrunn;;E15.20;N57.43;10;
2;Sweden;Västra Götaland;Hönö;;E11.65;N57.69;10;
2;Sweden;Skåne;Höör;;E13.53;N55.93;10;
2;Sweden;Skåne;Hörby;;E13.65;N55.85;10;
2;Sweden;Dalarna;Horndal;;E16.42;N60.30;10;
2;Sweden;Västerbotten;Hörnefors;;E19.90;N63.63;10;
2;Sweden;Västra Götaland;Horred;;E12.47;N57.35;10;
2;Sweden;Norrbotten;Hortlax;;E21.38;N65.28;10;
2;Sweden;Blekinge;Hörvik;;E14.77;N56.03;10;
2;Sweden;Jämtland;Hoting;;E16.17;N64.12;10;
2;Sweden;Västra Götaland;Hova;;E14.18;N58.87;10;
2;Sweden;Västra Götaland;Höviksnäs;;E11.77;N58.03;10;
2;Sweden;Kronoberg;Hovmantorp;;E15.13;N56.78;10;
2;Sweden;Örebro;Hovsta;;E15.22;N59.35;10;
2;Sweden;Gävleborg;Hudiksvall;;E17.11;N61.74;10;
2;Sweden;Kalmar;Hultsfred;;E15.83;N57.48;10;
